Type,Identification,Field,Locale,Market,Status,Default content,Translated content
PRODUCT,'6775670440008,title,fr,,,Essential Puffer Vest 3-Pack,Essential Puffer Vest 3-Pack
PRODUCT,'6775670440008,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Warm your core in style. Cold weather and A/C proof, this outerwear essential is the easiest way to look good and feel good when temps drop. Ultra-lightweight and packable, it's perfect fit doesn’t weigh you down and layers easily over your gym clothes, workwear, or a classic crew neck.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Water-resistant</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Lightweight and easy to pack</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft fleece lining on pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 side seam hand pockets with snap closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Full-zip with double-sided zipper closure (open from top or bottom)</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">100% Nylon self and lining / 100% Polyester fill</span>
</li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Straight fit at waist for room to layer</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for a looser fit</span>
</li>
<li><span>Model is 6'2"" and wearing size M</span></li>
</ul>
<p><strong>Colors Included in Pack: </strong><br></p>
<ul>
<li>Black<br>
</li>
<li>Navy</li>
<li>Gunmetal</li>
</ul>","<p data-mce-fragment=""1""> <span data-mce-fragment=""1"">Réchauffez votre cœur avec style. Résistant au froid et à la climatisation, ce vêtement d'extérieur essentiel est le moyen le plus simple d'avoir fière allure et de se sentir bien lorsque les températures baissent. Ultra léger et compact, son ajustement parfait ne vous alourdit pas et se superpose facilement à vos vêtements de sport, de travail ou à un col rond classique.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Caractéristiques:</strong></p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Résistant à l'eau</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Léger et facile à emballer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Doublure polaire ultra douce sur les poches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches repose-mains dans les coutures latérales avec fermeture à bouton-pression</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture à glissière complète avec fermeture à glissière double face (ouverture par le haut ou par le bas)</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Composition et doublure 100 % nylon / Remplissage 100 % polyester</span>

</li>


</ul>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Coupe droite à la taille pour laisser de la place à superposer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li> <span>Le mannequin mesure 6'2"" et porte une taille M</span>
</li>


</ul>

<p> <strong>Couleurs incluses dans le pack :</strong><br></p>

<ul>

<li> Noir<br>

</li>

<li> Marine</li>

<li> Bronze à canon</li>


</ul>"
PRODUCT,'6775670440008,handle,fr,,,essential-puffer-vest-3-pack,
PRODUCT,'6775670440008,meta_title,fr,,,Essential Puffer Vest 3-Pack | Essential Puffer Vest 3-Pack | True Classic,Pack de 3 gilets matelassés essentiels | Pack de 3 gilets matelassés essentiels | Un vrai classique
PRODUCT,'6775673290824,title,fr,,,Monochrome Puffer Vest 2-Pack,Monochrome Puffer Vest 2-Pack
PRODUCT,'6775673290824,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Warm your core in style. Cold weather and A/C proof, this outerwear essential is the easiest way to look good and feel good when temps drop. Ultra-lightweight and packable, it's perfect fit doesn’t weigh you down and layers easily over your gym clothes, workwear, or a classic crew neck.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Water-resistant</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Lightweight and easy to pack</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft fleece lining on pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 side seam hand pockets with snap closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Full-zip with double-sided zipper closure (open from top or bottom)</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">100% Nylon self and lining / 100% Polyester fill</span>
</li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Straight fit at waist for room to layer</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for a looser fit</span>
</li>
<li>Model is 6'2"" and wearing size M</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Colors Included in Pack: </strong><br data-mce-fragment=""1""></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Black</li>
<li data-mce-fragment=""1"">Gunmetal</li>
</ul>","<p data-mce-fragment=""1""> <span data-mce-fragment=""1"">Réchauffez votre cœur avec style. Résistant au froid et à la climatisation, ce vêtement d'extérieur essentiel est le moyen le plus simple d'avoir fière allure et de se sentir bien lorsque les températures baissent. Ultra léger et compact, son ajustement parfait ne vous alourdit pas et se superpose facilement à vos vêtements de sport, de travail ou à un col rond classique.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Caractéristiques:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Résistant à l'eau</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Léger et facile à emballer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Doublure polaire ultra douce sur les poches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches repose-mains dans les coutures latérales avec fermeture à bouton-pression</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture à glissière complète avec fermeture à glissière double face (ouverture par le haut ou par le bas)</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Composition et doublure 100 % nylon / Remplissage 100 % polyester</span>

</li>


</ul>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Coupe droite à la taille pour laisser de la place à superposer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li> Le mannequin mesure 6'2"" et porte une taille M</li>


</ul>

 <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Couleurs incluses dans le pack :</strong><br data-mce-fragment=""1""></p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">Noir</li>

<li data-mce-fragment=""1""> Bronze à canon</li>


</ul>"
PRODUCT,'6775673290824,handle,fr,,,monochrome-puffer-vest-2-pack,
PRODUCT,'6775673290824,meta_title,fr,,,Monochrome Puffer Vest 2-Pack | Monochrome Puffer Vest 2-Pack | True Classic,Ensemble de 2 vestes matelassées monochromes | Ensemble de 2 vestes matelassées monochromes | Un vrai classique
PRODUCT,'6775673716808,title,fr,,,Core Color Puffer Vest 2-Pack,Core Color Puffer Vest 2-Pack
PRODUCT,'6775673716808,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Warm your core in style. Cold weather and A/C proof, this outerwear essential is the easiest way to look good and feel good when temps drop. Ultra-lightweight and packable, it's perfect fit doesn’t weigh you down and layers easily over your gym clothes, workwear, or a classic crew neck.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Water-resistant</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Lightweight and easy to pack</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft fleece lining on pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 side seam hand pockets with snap closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Full-zip with double-sided zipper closure (open from top or bottom)</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">100% Nylon self and lining / 100% Polyester fill</span>
</li>
</ul>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Straight fit at waist for room to layer</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for a looser fit</span>
</li>
<li><span>Model is 6'2"" and wearing size M</span></li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Colors Included in Pack: </strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Navy</li>
<li data-mce-fragment=""1"">Gunmetal</li>
</ul>","<p data-mce-fragment=""1""> <span data-mce-fragment=""1"">Réchauffez votre cœur avec style. Résistant au froid et à la climatisation, ce vêtement d'extérieur essentiel est le moyen le plus simple d'avoir fière allure et de se sentir bien lorsque les températures baissent. Ultra léger et compact, son ajustement parfait ne vous alourdit pas et se superpose facilement à vos vêtements de sport, de travail ou à un col rond classique.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Caractéristiques:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Résistant à l'eau</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Léger et facile à emballer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Doublure polaire ultra douce sur les poches</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches repose-mains dans les coutures latérales avec fermeture à bouton-pression</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture à glissière complète avec fermeture à glissière double face (ouverture par le haut ou par le bas)</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Composition et doublure 100 % nylon / Remplissage 100 % polyester</span>

</li>


</ul>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span><strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Coupe droite à la taille pour laisser de la place à superposer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li> <span>Le mannequin mesure 6'2"" et porte une taille M</span>
</li>


</ul>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Couleurs incluses dans le pack :</strong></p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1""> Marine</li>

<li data-mce-fragment=""1""> Bronze à canon</li>


</ul>"
PRODUCT,'6775673716808,handle,fr,,,core-color-puffer-vest-2-pack,
PRODUCT,'6775673716808,meta_title,fr,,,Core Color Puffer Vest 2-Pack | Core Color Puffer Vest 2-Pack | True Classic,Core Color Puffer Gilet 2-Pack | Core Color Puffer Gilet 2-Pack | Un vrai classique
PRODUCT,'6775674503240,title,fr,,,Essential Puffer Jacket 3-Pack,Essential Puffer Jacket 3-Pack
PRODUCT,'6775674503240,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finally, a puffer jacket without an overly puffy fit. Lightweight and packable, we designed ours with a perfect, flattering fit that won’t weigh you down while providing superior insulation and warmth. All at an affordable price you can feel warm and fuzzy about.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Water-resistant</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Lightweight and easy to pack</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft fleece lining on pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 side seam hand pockets with hidden zipper closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Full-zip with double-sided zipper closure (open from top or bottom)</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">100% Nylon self and lining / 100% Polyester fill</span>
</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""> Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Straight fit in the body for room to layer</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for a looser fit</span>
</li>
<li><span>Model is 6'2"" and wearing size M</span></li>
</ul>
<p><strong>Colors Included in Pack: </strong></p>
<ul>
<li>Black</li>
<li>Gunmetal</li>
<li>Navy</li>
</ul>","<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Enfin une doudoune sans coupe trop bouffante. Léger et compactable, nous avons conçu le nôtre avec une coupe parfaite et flatteuse qui ne vous alourdira pas tout en offrant une isolation et une chaleur supérieures. Le tout à un prix abordable, vous pouvez vous sentir bien et confortablement installé.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Caractéristiques:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Résistant à l'eau</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Léger et facile à emballer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Doublure polaire ultra douce sur les poches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches pour les mains dans les coutures latérales avec fermeture à glissière cachée</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture à glissière complète avec fermeture à glissière double face (ouverture par le haut ou par le bas)</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Composition et doublure 100 % nylon / Remplissage 100 % polyester</span>

</li>


</ul>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Coupe droite sur le corps pour laisser de la place pour superposer des couches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li> <span>Le mannequin mesure 6'2"" et porte une taille M</span>
</li>


</ul>

<p> <strong>Couleurs incluses dans le pack :</strong></p>

<ul>

<li> Noir</li>

<li> Bronze à canon</li>

<li> Marine</li>


</ul>"
PRODUCT,'6775674503240,handle,fr,,,essential-puffer-jacket-3-pack,
PRODUCT,'6775674503240,meta_title,fr,,,Essential Puffer Jacket 3-Pack | Essential Puffer Jacket 3-Pack | True Classic,"Doudoune essentielle, paquet de 3 | Doudoune essentielle, paquet de 3 | Un vrai classique"
PRODUCT,'6775689347144,title,fr,,,Classic Puffer Jacket 3-Pack,Classic Puffer Jacket 3-Pack
PRODUCT,'6775689347144,body_html,fr,,,"<p data-mce-fragment=""1""><span data-mce-fragment=""1"">Finally, a puffer jacket without an overly puffy fit. Lightweight and packable, we designed ours with a perfect, flattering fit that won’t weigh you down while providing superior insulation and warmth. All at an affordable price you can feel warm and fuzzy about.</span></p>
<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Features:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Perfect fit</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Water-resistant</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Lightweight and easy to pack</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Ultra-soft fleece lining on pockets</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 side seam hand pockets with hidden zipper closure</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Full-zip with double-sided zipper closure (open from top or bottom)</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">100% Nylon self and lining / 100% Polyester fill</span>
</li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1""> Fit:</strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Slim fit in arms and shoulders</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Straight fit in the body for room to layer</span>
</li>
<li data-mce-fragment=""1"">
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Size up for a looser fit</span>
</li>
<li data-mce-fragment=""1""><span data-mce-fragment=""1"">Model is 6'2"" and wearing size M</span></li>
</ul>
<p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Colors Included in Pack: </strong></p>
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Black</li>
<li data-mce-fragment=""1"">Gunmetal</li>
<li data-mce-fragment=""1"">Military Green</li>
</ul>","<p data-mce-fragment=""1""> <span data-mce-fragment=""1"">Enfin une doudoune sans coupe trop bouffante. Léger et compactable, nous avons conçu le nôtre avec une coupe parfaite et flatteuse qui ne vous alourdira pas tout en offrant une isolation et une chaleur supérieures. Le tout à un prix abordable, vous pouvez vous sentir bien et confortablement installé.</span></p>

<p data-mce-fragment=""1""><span data-mce-fragment=""1""> </span></p>

 <p data-mce-fragment=""1""><strong data-mce-fragment=""1"">Caractéristiques:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Ajustement parfait</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Résistant à l'eau</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Léger et facile à emballer</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Doublure polaire ultra douce sur les poches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">2 poches pour les mains dans les coutures latérales avec fermeture à glissière cachée</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Fermeture à glissière complète avec fermeture à glissière double face (ouverture par le haut ou par le bas)</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Composition et doublure 100 % nylon / Remplissage 100 % polyester</span>

</li>


</ul>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Ajuster:</strong> </p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span> <span data-mce-fragment=""1"">Coupe ajustée au niveau des bras et des épaules</span>

</li>

<li data-mce-fragment=""1""> 
<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Coupe droite sur le corps pour laisser de la place pour superposer des couches</span>

</li>

<li data-mce-fragment=""1"">

<span data-mce-fragment=""1""></span><span data-mce-fragment=""1"">Taille au-dessus pour une coupe plus ample</span>

</li>

<li data-mce-fragment=""1""> <span data-mce-fragment=""1"">Le mannequin mesure 6'2"" et porte une taille M</span>
</li>


</ul>

<p data-mce-fragment=""1""> <strong data-mce-fragment=""1"">Couleurs incluses dans le pack :</strong></p>

<ul data-mce-fragment=""1"">

<li data-mce-fragment=""1""> Noir</li>

<li data-mce-fragment=""1""> Bronze à canon</li>

<li data-mce-fragment=""1""> Vert militaire</li>


</ul>"
PRODUCT,'6775689347144,handle,fr,,,classic-puffer-jacket-3-pack,
PRODUCT,'6775689347144,meta_title,fr,,,Classic Puffer Jacket 3-Pack | Classic Puffer Jacket 3-Pack | True Classic,"Doudoune classique, paquet de 3 | Doudoune classique, paquet de 3 | Un vrai classique"
PRODUCT,'6775730765896,title,fr,,,Monochrome Puffer Jacket 2-Pack - ERROR IN SKU,Monochrome Puffer Jacket 2-Pack - ERROR IN SKU
